id,Name_x,FIPS,year,VAC(vacantHousing),PMC,POV(poverty),UMP(unemployment),EDE (highschooldiploma),SNQ(foodaccess),HousingEviction_rate,RBS(Rentburdened),Opioidrate,x,y
0,Burnside,47,2016,28.96631349,11.93802526,32.75157573,18.37531386,13.87467938,35.91898362,3.96,35.37033538,0,-87.59647,41.728181
1,Calumet Heights,48,2016,11.69762942,11.87776518,17.11660554,14.12678287,25.6784997,51.60569556,5.57,29.73628426,0,-87.57272,41.729673
2,Roseland,49,2016,18.21507818,11.95610232,28.45735213,25.61300784,20.51061141,34.29992305,6.57,40.43550286,48.1,-87.623366,41.706588
3,Pullman,50,2016,13.15006255,11.92032274,25.49383986,20.91289313,23.09793623,39.47984057,6.12,35.90406775,44.7,-87.598252,41.706131
4,South Deering,51,2016,13.61417092,11.85973741,42.26336544,24.01873506,9.122192033,28.49148625,3.56,31.22018604,26.9,-87.570058,41.690639
5,East Side,52,2016,13.31417622,11.78224449,23.24857445,17.49695198,11.2230081,36.87649521,2.63,33.86193619,15,-87.534907,41.707306
6,West Pullman,53,2016,17.02577133,11.92929038,29.86636677,25.31328149,16.09587328,26.18710406,6.59,39.30850169,38.5,-87.635745,41.67382
7,Riverdale,54,2016,24.89399476,11.89757907,65.54073478,37.1152137,4.874780914,27.36407505,6.04,25.96269205,63.5,-87.602849,41.660137
8,Hegewisch,55,2016,7.552275049,11.81680495,14.68366484,6.623293117,17.85847902,58.67927532,3.71,28.96959149,18.1,-87.556803,41.668188
9,Beverly,72,2016,4.812756214,12.01701445,3.59751097,6.40990941,56.7194284,91.35077249,4.65,10.6762932,2.8,-87.675072,41.713148
10,Washington Heights,73,2016,8.750428278,12.00215836,18.72611886,18.42690292,22.77382641,47.75410884,6.12,39.68041236,31.7,-87.648897,41.717495
11,Mount Greenwood,74,2016,6.936362393,11.99860286,4.378415138,5.19572344,34.90699298,73.62713777,3.81,18.70594935,14.9,-87.713189,41.694876
12,Morgan Park,75,2016,10.46211223,11.96990851,20.09307393,11.9945611,33.11206815,53.65283396,4.13,27.550698,11.7,-87.669062,41.689729
13,Douglas,35,2016,9.707523653,12.05523566,34.15290883,16.00221491,40.12113465,57.61025203,4.05,29.52224797,37.3,-87.61868,41.835122
14,Oakland,36,2016,8.426648468,12.01576443,29.88058839,21.20634486,23.64839672,19.85060776,5.58,22.36217129,51,-87.603217,41.823754
15,Fuller Park,37,2016,29.15647624,12.06257144,31.8138892,28.94181758,11.07409523,14.12274775,5.78,32.0516826,73.6,-87.632427,41.809082
16,Grand Boulevard,38,2016,17.67922673,12.03503436,35.11208331,23.05825721,25.71279259,31.15967167,5.69,29.96555095,26.4,-87.61786,41.812947
17,Kenwood,39,2016,11.15419336,11.98030253,19.98114321,12.89773301,54.68093147,58.74839209,4.66,27.30210905,15.6,-87.596186,41.808918
18,Washington Park,40,2016,23.20017677,12.02348178,44.7605665,24.14980374,19.98017858,17.3059126,8.34,39.7760026,29,-87.617936,41.792356
19,Hyde Park,41,2016,14.31432206,11.95631479,21.00168798,7.797757407,79.67205996,84.28071948,2.98,32.6334873,6.3,-87.592305,41.794088
20,Woodlawn,42,2016,20.61548686,11.96289304,38.04565075,16.6217485,28.35931724,32.23788095,5.29,34.21629718,21.6,-87.594924,41.778877
21,South Shore,43,2016,21.89015335,11.89181322,37.03283804,20.75144384,23.91776894,37.28115127,8.27,38.3665531,34.8,-87.57279,41.761583
22,Chatham,44,2016,15.57337408,11.98835713,25.73679863,19.05092864,25.85502316,49.1551339,6.9,36.46913691,25.6,-87.615965,41.740206
23,Avalon Park,45,2016,13.78320308,11.92600952,20.40189307,24.21125918,22.5554126,38.8270889,6.74,33.77351235,16.7,-87.586347,41.744197
24,South Chicago,46,2016,28.9345634,11.82593759,32.03150211,23.10774016,15.80002628,33.82717821,7.23,31.74102199,40.3,-87.551435,41.741243
25,West Englewood,67,2016,24.74644418,12.09369913,36.49283716,33.10467564,7.596095987,29.75016185,7.17,38.82547213,24.6,-87.666598,41.775926
26,Englewood,68,2016,35.97468409,12.05996882,44.39007128,35.54328851,7.088244102,23.70247699,6.53,40.50787785,34.9,-87.642502,41.777201
27,Greater Grand Crossing,69,2016,21.36592721,12.00849945,38.5666605,25.45599808,14.35609391,37.81575683,6.49,36.07151122,45.6,-87.616139,41.763251
28,Auburn Gresham,71,2016,15.12650999,12.04817563,29.90708172,24.3348271,14.72471647,38.97396159,6.66,38.47503042,32.6,-87.656305,41.744203
29,Rogers Park,1,2016,12.38383983,11.52392859,25.33739296,8.504513573,43.77847326,51.52607843,2.83,29.45913951,26,-87.670171,42.00963
30,West Ridge,2,2016,11.12457396,11.6370662,21.84744478,9.2774555,40.88275104,48.64923235,2.6,29.93422541,7.2,-87.695017,42.001583
31,Uptown,3,2016,10.5210087,11.72440688,20.58602561,7.395400279,58.7791491,60.66541251,1.87,23.1287908,18.5,-87.655899,41.965822
32,Loop,32,2016,19.25462711,12.01194999,13.39621298,5.920283579,79.21880881,90.48020791,2.35,21.80336623,10.7,-87.625194,41.878881
33,Near South Side,33,2016,9.291996229,12.06191405,12.91782531,4.592362029,70.59206355,56.3814026,3.09,24.56401396,16.5,-87.620344,41.857196
34,Lincoln Square,4,2016,7.346067958,11.76144033,10.60549846,6.868009381,60.53161711,70.054296,0.78,19.20977939,7.4,-87.687513,41.975182
